,Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Year
628,MergerDomo,2018,Noida,Marketplace,Global online corporate deal sourcing and consulting marketplace,"Hormazd Charna, Manoj Mishra","Nadir Godrej, Individual Investors",1970000,Seed,2020
629,GoMechanic,2016,Delhi,Auto-tech,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Pawan Munjal,0,Series B,2020
630,Milk Mantra,2009,Odisha,Food,Produces Dairy Products,Srikumar Misra,US International Development Finance Corporation,100000000,Seed,2020
631,Myglamm,2015,Mumbai,Beauty,On-demand beauty services provider,Darpan Sanghvi,"Tano India, L’Occitane, Bessemer",43270000,Seed,2020
632,Drishti Technologies,0,Bangalore,AI,"AI-based video analytics, data, and insights bring benefits to manufacturers",Prasad Akella,Sozo Ventures,250000000,Series B,2020
633,Instasolv,2019,Noida,Edtech,It is a doubt-solving app for students from Class 6 to 12,"Aditya Singhal, Nishant Sinha, Bahul Arora",Undisclosed,20000000,Pre series A,2020
634,GoldenPi,2017,Bangalore,Fintech,An online aggregator of bonds and debentures available in the secondary market,"Abhijit Roy, Samir Pratihar",Rainmatter Capital,4590000,Seed,2020
635,Peppermint,2020,,Robotics,Industrial robotics startup,"Runal Dahiwade, Nityanand Prabhutendolkar, Miraj C. Vora","Venture Catalysts, Naveen Kshatriya,",0,Seed Round,2020
636,Sarva,0,Mumbai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,Shikhar Dhawan,0,Seed,2020
637,Jai Kisan,2017,Mumbai,Fintech,A platform that caters the need of customers in rural areas,"Arjun Ahluwalia, Adriel Maniego","Arkam Ventures, Nabventures",39370000,Pre series A,2020
638,Agro2o,0,New Delhi,Agritech,It develops products focused on making hydroponics-based farming,Yash Vyas,Mumbai Angels Network,0,Seed,2020
639,LetsTransport,2015,Bangalore,Logitech,Offers techno logistics solutions,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Stride Ventures,13135000,Seed,2020
640,GabbarDeals,0,Pune,Ecommerce,Online-to-Offline platforms for mobile phones & accessories,"Niraj Raka, Poonam Gugale, Piyush Raka",Venture Catalysts,0,Seed,2020
641,Crimson Healthcare,2015,Delhi,Med Tech,It innovates cutting edge solutions for various problems in the healthcare system,"Pranav Chopra, Neeraj Kumar",Mumbai Angels Network,2298000,Seed,2020
642,Biomoneta,0,Bangalore,Life sciences,It develops germicidal technologies,Dr Janani Venkatraman,"Beyond Next Ventures, ArthaVida Ventures, Dr Aniruddha Malpani",0,Seed Round,2020
643,Edvizo,0,Bangalore,Edtech,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",Ravi Nishant,Inflection Point Ventures,1500000,Seed Round,2020
644,Servify,0,Mumbai,SaaS,Operates device management and support platform,Sreevathsa Prabhakar,"Iron Pillar, Blume Ventures",113700000,Series C,2020
645,Drum Food,0,Mumbai,Food,It runs yoghurt brand Epigamia,"Rohan Mirchandani, Ganesh Krishnamurthy, Rahul Jain,Uday Thakkar.","Danone Manifesto, Mousse Partners",53050000,Seed,2020
646,Innoviti,2002,Bangalore,SaaS,Digital payments solutions company,Rajeev Agrawal,"Entrepreneurial Development Bank, Bessemer Venture Partners",0,Series C,2020
647,Jiffy ai,2018,,AI,Enterprise automation startup,Babu Sivadasan,Nexus Venture Partners,180000000,Series A,2020
648,Postman,2014,,Tech,API development platform startup,"Abhijit Kane, Abhinav Asthana, Ankit Sobti",Insight Partners,1500000000,Series C,2020
649,F5,2018,,Retail Aggregator,It provides opportunities for its partner vendors to upsell and cross-sell their products.,"Raghav Arora, Lalit Kumar Aggarwal",Venture Catalysts,0,Seed,2020
650,Waycool,2015,Chennai,Agritech,Food development and distribution services,"Karthick Jayraman, Sanjay Dasari",Induslnd Bank,55000000,Series C,2020
651,Myelin Foundry,2019,,Deep Tech AI,"It builds AI based algorithms on video, voice and sensor","Dr Gopichand Katragadda, Ganesh Suryanarayanan, Aditi Olemann.",Pratithi,0,Seed,2020
652,Ameliorate Biotech,0,Bangalore,Biotech,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.","Dr Binita Shrivastava Tunga, Dr Rashbehari Tunga","PadUp, Villgro USA, Vinners, LetsVenture, SINE IIT Bombay, DERBI",2640000,Angel Round,2020
653,Hapramp,2018,Gurugram,Blockchain,Startup working on technologies like blockchain and social media,"Shubhendra Vikram, Ankit Kumar",Anand Mahindra,10000000,Seed,2020
654,MyKaam,2016,Bangalore,HrTech,Online job searching and recruiting platform,Ashish Gupta,"Dr Apoorva Ranjan Sharma, Mrunal Jhaveri, Nirav Panchmatia, Vikas Kapoor, Karan Garg",0,Seed,2020
655,HealthPlix,2016,Bangalore,Healthtech,It provides clinical software for doctors,"Raghuraj Sunder Raju, Prasad Basavaraj, Sandeep Gudibanda","JSW Ventures, Chiratae Ventures, Kalaari Capital",60000000,Series B,2020
656,YoloBus,2019,Gurugram,Mobility/Transport,Intercity bus service startup,"Shailesh Gupta, Mukul Shah",Nexus Venture Partners,33000000,Series A,2020
657,iNurture Education,0,,Edtech,"It provides a conducive and healthy teaching, learning environment",Ashwin Ajila,Kimera Ltd,40000000,Seed,2020
658,Pocket52,2017,Bangalore,Gaming,An online poker playing platform,Nitesh Salvi,Gameskraft,17500000,Series A,2020
659,QuaQua,2016,Hyderabad,Travel,Virtual travel guide platform,"Purav Shah, Sandesh Reddy",Anthill Ventures,10000000,Seed,2020
660,Crofarm,2016,Delhi,Agritech,Supply chain that supports farmers and provides businesses with freshest produce,"Prashant Jain, Varun Khurana",Smile group,10000000,Seed,2020
661,Timios,0,Bangalore,Foodtech,Provides healthy snacks for kids,Aswani Chaitanya,Rangsons Technologies,0,Pre series A,2020
662,Wooden Street,2015,Jaipur,Ecommerce,It enables to order custom furniture online,"Lokendra Ranawat, Dinesh Pratap Singh, Virendra Ranawat, Vikas Baheti",IAN Fund,30000000,Series A,2020
663,BankBazaar,2008,Chennai,Fintech,Online marketplace that gives customers instant customised offers on loans and credit cards,"Adhil Shetty, Arjun Shetty, Rati Shetty,",WSV Capital,59670000,Series D1,2020
664,Rentmojo,2012,Bangalore,Rental,"Rental platform for furniture, appliances & electronics",Geetansh Bamania,"Gautam Dalmia, Pratithi Investment Trust, Shri Investment",29800000,Seed,2020
665,Credgencies,2018,,AI & Debt,Tech-enabled platform for resolution of non-performing assets,"Rishabh Goel, Anand Agrawal, Mayank Khera",Titan Capital,0,Seed Round,2020
666,Knorish,0,Delhi,SaaS/Edtech,All-in-one knowledge commerce SaaS platform,"Kinner N Sacchdev, Rakhi Wadhwa",100x VC,3230000,Pre series A,2020
667,LetsTransport,2015,Bangalore,Logitech,Offers techno logistics solutions,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Black Soil,13260000,Seed,2020
668,Vahak,2017,,Transport,It enables logistic companies to conncet with transporters,"Karan Shaha, Vikas Chandrawat","Leo Capaitals, Amit Gupta, Abhishek Goyal, Ramakant Sharma, Harsh Pokhran",0,Seed Round,2020
669,Nutrova,2013,Mumbai,Nutrition,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",Akshay Pai,DSG Consumer Partners,0,Pre series A,2020
670,Cube Wealth,2018,Mumbai,SaaS,A digital wealth management services,"Satyen Kothari, Beenext, Asuka Holding","Beenext, Asuka Holding",5000000,Mid series,2020
671,IVF Access,2019,Bangalore,Healthtech,It provdes IVF treatments,"Naresh Rao, Nikhil Rajmohan, Harinath Chakravarthy, Pravin Sethuraman",Vertex Ventures SEA & India,50000000,Series A,2020
672,Hoi Foods,2017,Delhi,Foodtech,Quality food solution,Indrajeet Roy,Crowd Fund,20000000,Pre series A,2020
673,Ola Financial Services,0,Bangalore,Fintech,It operates Ola Money,Bhavish Aggarwal,Matrix Partners,270000000,Series A,2020
674,Awifs,2015,Delhi,Co-working,Provides office space solutions,Amit Ramani,"Bisque Limited, Link Investment Trust.",52000000,Seed,2020
675,Dunzo,2014,Bangalore,Logistics,India-based hyperlocal delivery startup,"Kabeer Biswas,  Mukund Jha, Dalvir Suri, Ankur Aggarwal",Undisclosed,550000000,Seed,2020
676,Swiflearn,2019,Gurugram,Edtech,Learning platform for K-10 students looking for personalised learning,"Abhinav Agarwal, Anand Bakode","Stellaris Venture Partners, Venture Highway",0,Seed Round,2020
677,Remedo,2017,Delhi,Healthtech,The platform connects doctors with patients,"Dr Ruchir Mehra, Harsh Bansal, Richeek Arya",River Rock Ventures. Inflection Point Ventures,0,Pre series A,2020
678,Blowhorn,2014,Bangalore,Logistics,Tech platform that connects logistics service seekers with mini-truck drivers,"Mithun Srivatsa, Nikhil Shivaprasad",Trifecta Capital,0,Seed,2020
679,Toch,0,Mumbai,AI,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos","Vinayak Srivastav, Saket Dandotia, Alok Patil","Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures",10000000,Pre series A,2020
680,Gram Cover,0,Noida,Insurtech,It provides insurance products in rural areas,Jatin Singh,"EMVC, Flourish, Omidyar Network India",0,Pre series A,2020
681,Coin DCX,2018,Mumbai,Cryptocurrency,Hybrid crypto exchange platform,"Sumit Gupta, Neeraj Khandelwal",Polychain Capital,25000000,Seed,2020
682,HomeCapital,0,Mumbai,Fintech,Home Down Payment Assistance Program,Lalit Menghani,Varanium NexGen Fund,0,Seed,2020
683,Euler Motors,0,Delhi,Automotive tech,Startup focusses on electric vehicles,Saurav Kumar,Inventus III India Fund,25300000,Series A,2020
684,Riskcovry,2018,Mumbai,Insurtech,Offers various insurance products,"Suvendu Prusty, Sorabh Bhandari, Chiranth Patil.","Bharat Inclusion Seed Fund, Varanium Capital, and Better Capital",0,Pre series A,2020
685,NWNT (No Worry No Tension Healthcare),0,Delhi,Healthtech,Mental healthtech startup,Sandeep Vohra,Amit Burman,0,Pre series A,2020
686,Voicezen,0,Gurugram,AI,Conversational AI startup,Anurba Nath,Bharti Airtel,0,Seed,2020
687,Leap Club,0,Gurugram,,Community led professional network for women,"Ragini Das, Anand Sinha","Whiteboard Capital, FirstCheque, Artha India Ventures, Sweta Rau, Deepak Abbot, Amrish Rau, Harpreet Singh Grover",3400000,Pre seed round,2020
688,Credit Mantri,2012,Chennai,Fintech,Offers free credit score and a detailed credit analysis report,"Gowri Mukherjee, Ranjit Punja, Rajasundaram Sudarshan","IDG Ventures, Elevar Equity, Accion",7920000,Seed,2020
689,Xtracap,0,Gurugram,Fintech,"Offers online payment solution,schemes, order management, insurance etc.,",Mohammed Riaz,Angel Investors,10000000,Seed,2020
690,Tring,2019,Mumbai,Media,Celebrity engagement platform,"Akshay Saini, Rahul Saini, Pranav Chabhadia","Kalyan Krishnamurthy, Sujeet Kumar, Keshav Sanghi, Roman Saini, Sumit Jain, Hemesh Singh",0,Seed,2020
691,Vakilsearch,2010,Chennai,Legal,"Online platform for legal, tax and compliance services",Hrishikesh Datar,Sujeet Kumar,0,Seed,2020
692,Khatabook,0,Bangalore,Fintech,It helps SMEs to maintain their accounts and ledger online.,Ravish Naresh,B Capital Group,600000000,Series B,2020
693,LendingKart,2014,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,"Harshvardhan Lunia, Mukul Sachan","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",113630000,Series D,2020
694,Illumnus,0,,Edtech,Offers Collaborative learning management system for educational institutions,"Akash Deep Singhal, Akshaya Singhal",Angel investors. HNI,1000000,Seed Round,2020
695,LetsTransport,2015,Bangalore,Logitech,Offers techno logistics solutions,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Innoven Capital,17150000,Seed,2020
696,Eggoz,2017,Bihar,Agritech,"Provides technology backed, deep integration services to egg farmers",Uttam Kumar,"Tracxn Labs, Angellist, Tri-Deep Capital",3290000,Seed Round,2020
697,Winuall,2018,Bangalore,Edtech,It helps coaching institutes in digitization,Ashwini Purohit,"Ankit Bhati, Nitin Gupta",0,Seed,2020
698,Indian School Finance Company,0,Hyderabad,Fintech,NBFC that provides funding to education system,,Gray Matters Capital,52710000,Seed Round,2020
699,Juicy Chemistry,2014,,,It focuses on organic based skincare products,Pritesh Asher,Akya Ventures,6500000,Series A,2020
700,DeepTek,2018,Pune,Healthtech,AI enabled radiology platform,"Amit Kharat, Ajit Patil, Aniruddha Pant",GHV Accelerator,0,Seed,2020
701,Stepathlon Lifestyle,2012,Mumbai,Fitness,It organises corporate wellness programs,"Krishnan, Shane Bilsborough","Josh Liberman, Mark Adams",0,Seed,2020
702,Sindhuja Microcredit,2018,Noida,Fintech,It provides financial services to self employed women entrepreneurs,"Abhisheka Kumar, Malkit Didyala",Nordic Microfinance Initiative,87000000,Seed,2020
703,Rentmojo,2012,Bangalore,Rental,"Rental platform for furniture, appliances & electronics",Geetansh Bamania,"Chiratae Ventures, Accel Partners, BCIP Venture Associates, Bain Capital, Renaud Laplanche",32260000,Seed,2020
704,Tesco Charge Zone,0,Gujarat,EV,Operates electric vehicle charging zone,Kartikey Hariyani,Mumbai Angels Network,0,Seed,2020
705,Intello Labs,2016,Gurugram,"Supply chain, Agritech",Standardisation and Quality control of fruits & vegetables,"Milan Sharma, Nishant Mishra, Himani Shah, Devendra Chandani",Saama Capital,59000000,Series A,2020
706,SirionLabs,2012,Gurugram,SaaS,"Provides procurement, outsourcing services & contract management software",Ajay Agrawal,"Tiger Global, Avatar Growth Capital",440000000,Series C,2020
707,Magicpin,2015,Gurugram,,"It is a local discovery, rewards, and commerce platform","Anshoo Sharma, Brij Bhushan",Lightspeed Venture Partners,38790000,Seed,2020
708,GroCurv,2019,Gurugram,B2B,"It offers a wide range of business related services like Branding, marketing, sales etc.,","Venkatesh Rangachari, Vipul Gupta",Unicorn Investments Pte Ltd,0,Seed Round,2020
709,Refrens,2019,Bangalore,SaaS,"Offers a free invoicing, payments and expense management system","Naman Sarawagi, Mohit Jain","Vijay Shekhar Sharma, Anupam Mittal",10000000,Seed Round,2020
710,Shiprocket,2017,,Logitech,Tech enabled logistics aggregator,Saahil Goel,"Tribe Capital, Innoven Capital, BII",130000000,Series C,2020
711,Spyne,0,Gurugram,AI,Helps online businesses with visual content,"Sanjay Kumar, Deepti Prasad","Angellist, Smile Group, Manish Amin, Anil Goel, Anubhav Sonthalia, Deepak Mittal",0,Pre series A,2020
712,Nykaa,2012,Mumbai,Ecommerce,Deals in cosmetic and wellness products,Falguni Nayar,Steadview capital,88000000,Seed,2020
713,Docsapp,2015,Bangalore,Healthtech,Online doctor consultation app,Satish Kannan,"Bessemer Venture Partners India, Fusian Capital, Rebright Partners, Milliways Fund LLC",95000000,Seed,2020
714,Phable,2018,,Healthtech,"It creates an engagement loop between doctors, hospitals, and patients via its app","Sumit Sinha,  Mukesh Bansal",Inflection Point Ventures,10000000,Pre series A,2020
715,Generic Aadhaar,0,,Pharma,It provides a platform for entrepreneurs to access generic  medicine at low cost,Arjun Deshpande,Ratan Tata,0,Seed,2020
716,Nium,0,,Fintech,Open global money platform,Prajit Nanu,"VisaVentures, BRI Ventures",0,Seed,2020
717,Mintoak,0,Mumbai,Fintech,Merchant payment solutions startup,"Raman Khanduja, Sanjay Nazareth",Pravega Ventures,20000000,Pre series A,2020
718,VestSpace,2018,Pune,Spacetech,It builds small satellite paltforms,Arun Kumar Sureban,Next Capital,100000000,Seed,2020
719,Blackbuck,2015,Bangalore,Logistics,Provides trucking services,Rajesh Yabaji,Trifecta Venture,0,Seed,2020
720,Vernacular ai,2016,Bangalore,AI,It offers Multiligual AI platform,"Gupta, Akshay Deshraj, Manoj Sarda","Exfinity Ventures, IAN Fund",51000000,Series A,2020
721,Clover,0,Bangalore,Agritech,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura",Alteria Capital,9200000,Seed,2020
722,Varthana,0,Bangalore,Fintech,Offers secured and unsecured loans,Steve Hardgrave,ChrysCapital,150000000,Series D,2020
723,Codeninja,2016,Bangalore,SaaS,AI-powered 'no-code' platform which can generate application development code,"Prashanth Kuppur, Deepak Kalhan, Saurabh Kukreti, Richpal Gora","Hari Balasubramanian, EaSyndicate",0,Seed Round,2020
724,MetaMerphoSys,2016,Pune,Insurance technology,Digital insurance platform for businesses,"Amit Naik, Kewal Vargante",Good Capital,0,Pre series A,2020
725,Rooter,2016,Delhi,Gaming,Live sports engagement platform,"Piyush, Dipesh Agarwal","Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital",17000000,Pre series A,2020
726,Aker Foods,2019,Pune,Foodtech & Logistics,Ai driven supply chain platform,Suraj Saste,Mumbai Angels Network,0,Seed,2020
727,Sascan Meditech pvt ltd,2015,Kerala,Healthtech,They are developing technology that can detect early cancerous cells,Dr Subhash Narayanan,Unicorn India Ventures,0,Seed,2020
728,DailyHunt,2009,,Media,News aggregator,Virendra Gupta,Lupa India,356000000,Seed,2020
729,Pratilipi,2014,Bangalore,Media,A digital platform that connects readers and writers in various languages,"Ranjeet Pratap Singh, Sankaranarayanan Devarajan, Sahradayi Modi, Rahul Ranjan, Prashant Gupta",Tencent,94000000,Series C,2020
730,Biryani By Kilo,0,Delhi,Food,Online paltform to order biryani,Vishal Jindal,"Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi",7900000,Series B,2020
731,Consure Medical,0,Delhi,Healthtech,"Novel platform technologies to manage, diagnose, and treat various GI disorders","Nishith Chasmawala, Amit Sharma","Accel Partners, Jungle Ventures",4800000,Seed,2020
